"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )";"Average per person per year/Time travelled     (hours)"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2018";9;23;1,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2020";5;11;0,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2021";5;12;1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2022";7;15;1,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Utrecht (PV)";"2023";7;20;1,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2018";11;35;2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2019";7;33;1,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2020";7;20;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2021";8;14;1,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2022";8;19;1,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Noord-Holland (PV)";"2023";7;24;2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2018";11;30;2,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2019";9;29;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2020";7;13;1,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2021";7;13;1,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2022";9;21;2,2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Zuid-Holland (PV)";"2023";8;22;1,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Zeeland (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2018";7;13;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2019";9;17;1,5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2020";6;9;1,1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2021";8;9;1,2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2022";7;12;1,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Noord-Brabant (PV)";"2023";8;16;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2020";9;8;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2022";10;14;1,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"Limburg (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2018";14;355;7,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2019";13;284;6,6
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2020";10;170;4,1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2021";10;218;4,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2022";12;268;6,1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2023";11;194;4,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Groningen (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Fryslân (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Drenthe (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2018";16;473;10,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2019";15;326;7,1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2021";12;232;4,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Overijssel (PV)";"2023";13;242;5,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Flevoland (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Flevoland (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Flevoland (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Flevoland (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Flevoland (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Flevoland (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Gelderland (PV)";"2018";13;346;7,2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Gelderland (PV)";"2019";13;345;6,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Gelderland (PV)";"2020";11;170;4,1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Gelderland (PV)";"2021";12;336;6,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Gelderland (PV)";"2022";14;376;7,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Gelderland (PV)";"2023";11;240;5,2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Utrecht (PV)";"2018";13;321;7,2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Utrecht (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Utrecht (PV)";"2020";8;177;3,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Utrecht (PV)";"2021";9;185;4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Utrecht (PV)";"2022";9;226;4,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Utrecht (PV)";"2023";9;164;4,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Noord-Holland (PV)";"2018";13;263;6,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Noord-Holland (PV)";"2019";15;257;6,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Noord-Holland (PV)";"2020";9;138;3,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Noord-Holland (PV)";"2021";8;132;3,2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Noord-Holland (PV)";"2022";11;195;5,1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Noord-Holland (PV)";"2023";9;143;4,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Zuid-Holland (PV)";"2018";13;330;7,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Zuid-Holland (PV)";"2019";12;286;7,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Zuid-Holland (PV)";"2020";9;143;4,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Zuid-Holland (PV)";"2021";9;181;4,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Zuid-Holland (PV)";"2022";11;198;5,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Zuid-Holland (PV)";"2023";11;187;5
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Zeeland (PV)";"2018";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Zeeland (PV)";"2019";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Zeeland (PV)";"2020";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Zeeland (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Zeeland (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Zeeland (PV)";"2023";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Noord-Brabant (PV)";"2018";16;375;8,2
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Noord-Brabant (PV)";"2019";11;251;5,7
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Noord-Brabant (PV)";"2020";9;124;2,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Noord-Brabant (PV)";"2021";11;217;4,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Noord-Brabant (PV)";"2022";12;326;6,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Noord-Brabant (PV)";"2023";9;168;3,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Limburg (PV)";"2018";17;321;7,9
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Limburg (PV)";"2019";12;151;4,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Limburg (PV)";"2020";10;150;3,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Limburg (PV)";"2021";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Limburg (PV)";"2022";;;
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"Limburg (PV)";"2023";;;
"Professionally";"Population 6 years or older";"Total";"Value";"The Netherlands";"2018";25;802;15,9
"Professionally";"Population 6 years or older";"Total";"Value";"The Netherlands";"2019";39;1195;24,2
"Professionally";"Population 6 years or older";"Total";"Value";"The Netherlands";"2020";26;677;14,2
"Professionally";"Population 6 years or older";"Total";"Value";"The Netherlands";"2021";28;705;15,3
"Professionally";"Population 6 years or older";"Total";"Value";"The Netherlands";"2022";30;759;16,5
"Professionally";"Population 6 years or older";"Total";"Value";"The Netherlands";"2023";31;821;17,8
"Professionally";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2018";25;;13,3
"Professionally";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2019";34;979;18,9
"Professionally";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2020";32;951;17,5
"Professionally";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2021";26;677;13,4
"Professionally";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2022";35;;
"Professionally";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2023";26;596;14,7
"Professionally";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2018";22;610;11,5
"Professionally";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2019";37;1602;27,7
"Professionally";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2020";40;952;17,8
"Professionally";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2021";31;771;16,8
"Professionally";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2022";40;937;20,5
"Professionally";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2023";40;1139;20,3
"Professionally";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2018";25;877;14,3
"Professionally";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2019";40;1119;22,6
"Professionally";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2020";28;784;14,8
"Professionally";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2021";;;
"Professionally";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2022";34;1035;20
"Professionally";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2023";34;1172;19,8
"Professionally";"Population 6 years or older";"Total";"Value";"Overijssel (PV)";"2018";28;919;17,5
