"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )";"Average per person per year/Time travelled     (hours)"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Limburg (PV)";"2019";420;5859;143,1
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Limburg (PV)";"2020";371;4901;124,2
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Limburg (PV)";"2021";349;5079;122
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Limburg (PV)";"2022";383;5584;136,2
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Limburg (PV)";"2023";419;5553;138,1
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2018";118;2431;56,5
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2019";114;2429;57,1
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2020";88;1598;40,6
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2021";94;1860;47,5
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2022";102;1991;49,4
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2023";110;2203;53,1
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Groningen (PV)";"2018";129;2902;69,6
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Groningen (PV)";"2019";99;2944;59,7
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Groningen (PV)";"2020";89;1720;43,8
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Groningen (PV)";"2021";83;2157;52,3
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Groningen (PV)";"2022";104;2414;53,5
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Groningen (PV)";"2023";101;2101;47,8
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Fryslân (PV)";"2018";122;3156;68,1
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Fryslân (PV)";"2019";123;3845;75,4
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Fryslân (PV)";"2020";106;1740;45,9
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Fryslân (PV)";"2021";100;2449;57,9
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Fryslân (PV)";"2022";108;2435;54
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Fryslân (PV)";"2023";111;2493;55,9
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2018";134;3021;59,7
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2019";130;3090;67,2
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2020";109;2200;49,1
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2021";117;2343;64,5
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2022";99;2150;51,2
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Drenthe (PV)";"2023";114;2517;54,3
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2018";123;2611;57,1
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2019";116;2728;60,1
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2020";91;1507;41,2
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2021";99;1830;48,6
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2022";107;2046;47,3
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Overijssel (PV)";"2023";117;2509;55,6
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2018";136;2708;65,2
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2019";128;2973;62,1
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2020";105;1970;49,2
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2021";109;2704;59,4
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2022";119;2862;59,8
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Flevoland (PV)";"2023";120;2359;56
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2018";122;2609;58,2
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2019";118;2248;59,3
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2020";91;1715;41,6
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2021";95;1969;48,2
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2022";111;2173;56,2
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Gelderland (PV)";"2023";119;2548;57,6
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2018";110;2516;58,7
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2019";116;2867;61,7
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2020";82;1652;39
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2021";91;2076;49,8
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2022";96;2221;50,6
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Utrecht (PV)";"2023";103;2414;53,5
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2018";106;2298;53,5
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2019";96;1960;50,6
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2020";72;1450;36,5
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2021";84;1748;45,9
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Noord-Holland (PV)";"2022";87;1831;47
