Travel motives,population,Travel modes,margins,Regions,Year,Average number of trips per person per year,Average kilometers travelled per person per year,Average hours travelled per person per year
Total,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2021,95.0,1969.0,48.2
Total,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2022,111.0,2173.0,56.2
Total,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2023,119.0,2548.0,57.6
Total,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2018,110.0,2516.0,58.7
Total,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2019,116.0,2867.0,61.7
Total,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2020,82.0,1652.0,39.0
Total,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2021,91.0,2076.0,49.8
Total,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2022,96.0,2221.0,50.6
Total,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2023,103.0,2414.0,53.5
Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2018,106.0,2298.0,53.5
Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2019,96.0,1960.0,50.6
Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2020,72.0,1450.0,36.5
Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2021,84.0,1748.0,45.9
Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2022,87.0,1831.0,47.0
Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2023,96.0,1889.0,49.3
Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2018,106.0,2116.0,52.0
Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2019,109.0,2196.0,54.9
Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2020,81.0,1504.0,40.7
Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2021,88.0,1784.0,46.2
