Travel motives,population,Travel modes,margins,Regions,Year,Average number of trips per person per year,Average kilometers travelled per person per year,Average hours travelled per person per year
Services/care,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2018,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2019,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2020,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2021,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2022,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2023,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2018,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2019,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2020,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2021,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2022,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2023,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2018,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2019,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2020,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2021,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2022,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2023,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2018,6.0,79.0,2.3
Services/care,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2019,6.0,101.0,2.8
Services/care,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2020,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2021,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2022,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2023,5.0,70.0,1.8
Services/care,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2018,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2019,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2020,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2021,6.0,66.0,2.0
Services/care,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2022,4.0,44.0,1.3
Services/care,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2023,4.0,56.0,1.8
Services/care,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2018,4.0,52.0,1.6
Services/care,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2019,5.0,63.0,2.1
Services/care,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2020,3.0,,0.9
Services/care,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2021,4.0,73.0,1.6
Services/care,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2022,5.0,50.0,1.6
Services/care,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2023,4.0,41.0,1.5
Services/care,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2018,4.0,47.0,1.4
Services/care,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2019,5.0,64.0,2.0
Services/care,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2020,4.0,55.0,1.8
Services/care,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2021,5.0,49.0,1.7
Services/care,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2022,3.0,36.0,1.3
Services/care,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2023,4.0,42.0,1.5
Services/care,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2018,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2019,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2020,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2021,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2022,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2023,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2018,6.0,119.0,2.5
Services/care,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2019,4.0,59.0,1.8
Services/care,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2020,5.0,55.0,1.5
Services/care,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2021,5.0,64.0,1.7
Services/care,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2022,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2023,6.0,77.0,2.0
Services/care,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2018,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2019,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2020,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2021,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2022,,,
Services/care,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2023,,,
Services/care,Population 6 years or older,Train,Value,The Netherlands,2018,1.0,27.0,0.7
Services/care,Population 6 years or older,Train,Value,The Netherlands,2019,,,
Services/care,Population 6 years or older,Train,Value,The Netherlands,2020,,,
Services/care,Population 6 years or older,Train,Value,The Netherlands,2021,,,
Services/care,Population 6 years or older,Train,Value,The Netherlands,2022,,,
Services/care,Population 6 years or older,Train,Value,The Netherlands,2023,0.0,,0.5
Services/care,Population 6 years or older,Train,Value,Groningen (PV),2018,,,
Services/care,Population 6 years or older,Train,Value,Groningen (PV),2019,,,
Services/care,Population 6 years or older,Train,Value,Groningen (PV),2020,,,
Services/care,Population 6 years or older,Train,Value,Groningen (PV),2021,,,
Services/care,Population 6 years or older,Train,Value,Groningen (PV),2022,,,
Services/care,Population 6 years or older,Train,Value,Groningen (PV),2023,,,
Services/care,Population 6 years or older,Train,Value,Fryslân (PV),2018,,,
Services/care,Population 6 years or older,Train,Value,Fryslân (PV),2019,,,
Services/care,Population 6 years or older,Train,Value,Fryslân (PV),2020,,,
Services/care,Population 6 years or older,Train,Value,Fryslân (PV),2021,,,
Services/care,Population 6 years or older,Train,Value,Fryslân (PV),2022,,,
Services/care,Population 6 years or older,Train,Value,Fryslân (PV),2023,,,
Services/care,Population 6 years or older,Train,Value,Drenthe (PV),2018,,,
Services/care,Population 6 years or older,Train,Value,Drenthe (PV),2019,,,
Services/care,Population 6 years or older,Train,Value,Drenthe (PV),2020,,,
Services/care,Population 6 years or older,Train,Value,Drenthe (PV),2021,,,
Services/care,Population 6 years or older,Train,Value,Drenthe (PV),2022,,,
Services/care,Population 6 years or older,Train,Value,Drenthe (PV),2023,,,
Services/care,Population 6 years or older,Train,Value,Overijssel (PV),2018,,,
Services/care,Population 6 years or older,Train,Value,Overijssel (PV),2019,,,
Services/care,Population 6 years or older,Train,Value,Overijssel (PV),2020,,,
Services/care,Population 6 years or older,Train,Value,Overijssel (PV),2021,,,
Services/care,Population 6 years or older,Train,Value,Overijssel (PV),2022,,,
Services/care,Population 6 years or older,Train,Value,Overijssel (PV),2023,,,
Services/care,Population 6 years or older,Train,Value,Flevoland (PV),2018,,,
Services/care,Population 6 years or older,Train,Value,Flevoland (PV),2019,,,
Services/care,Population 6 years or older,Train,Value,Flevoland (PV),2020,,,
Services/care,Population 6 years or older,Train,Value,Flevoland (PV),2021,,,
Services/care,Population 6 years or older,Train,Value,Flevoland (PV),2022,,,
Services/care,Population 6 years or older,Train,Value,Flevoland (PV),2023,,,
Services/care,Population 6 years or older,Train,Value,Gelderland (PV),2018,,,
Services/care,Population 6 years or older,Train,Value,Gelderland (PV),2019,,,
Services/care,Population 6 years or older,Train,Value,Gelderland (PV),2020,,,
Services/care,Population 6 years or older,Train,Value,Gelderland (PV),2021,,,
Services/care,Population 6 years or older,Train,Value,Gelderland (PV),2022,,,
Services/care,Population 6 years or older,Train,Value,Gelderland (PV),2023,,,
Services/care,Population 6 years or older,Train,Value,Utrecht (PV),2018,,,
Services/care,Population 6 years or older,Train,Value,Utrecht (PV),2019,,,
Services/care,Population 6 years or older,Train,Value,Utrecht (PV),2020,,,
Services/care,Population 6 years or older,Train,Value,Utrecht (PV),2021,,,
Services/care,Population 6 years or older,Train,Value,Utrecht (PV),2022,,,
Services/care,Population 6 years or older,Train,Value,Utrecht (PV),2023,,,
Services/care,Population 6 years or older,Train,Value,Noord-Holland (PV),2018,,,
Services/care,Population 6 years or older,Train,Value,Noord-Holland (PV),2019,,,
Services/care,Population 6 years or older,Train,Value,Noord-Holland (PV),2020,,,
Services/care,Population 6 years or older,Train,Value,Noord-Holland (PV),2021,,,
Services/care,Population 6 years or older,Train,Value,Noord-Holland (PV),2022,,,
Services/care,Population 6 years or older,Train,Value,Noord-Holland (PV),2023,,,
Services/care,Population 6 years or older,Train,Value,Zuid-Holland (PV),2018,,,
Services/care,Population 6 years or older,Train,Value,Zuid-Holland (PV),2019,,,
Services/care,Population 6 years or older,Train,Value,Zuid-Holland (PV),2020,,,
Services/care,Population 6 years or older,Train,Value,Zuid-Holland (PV),2021,,,
Services/care,Population 6 years or older,Train,Value,Zuid-Holland (PV),2022,,,
Services/care,Population 6 years or older,Train,Value,Zuid-Holland (PV),2023,,,
Services/care,Population 6 years or older,Train,Value,Zeeland (PV),2018,,,
Services/care,Population 6 years or older,Train,Value,Zeeland (PV),2019,,,
Services/care,Population 6 years or older,Train,Value,Zeeland (PV),2020,,,
Services/care,Population 6 years or older,Train,Value,Zeeland (PV),2021,,,
Services/care,Population 6 years or older,Train,Value,Zeeland (PV),2022,,,
Services/care,Population 6 years or older,Train,Value,Zeeland (PV),2023,,,
Services/care,Population 6 years or older,Train,Value,Noord-Brabant (PV),2018,,,
Services/care,Population 6 years or older,Train,Value,Noord-Brabant (PV),2019,,,
Services/care,Population 6 years or older,Train,Value,Noord-Brabant (PV),2020,,,
Services/care,Population 6 years or older,Train,Value,Noord-Brabant (PV),2021,,,
Services/care,Population 6 years or older,Train,Value,Noord-Brabant (PV),2022,,,
Services/care,Population 6 years or older,Train,Value,Noord-Brabant (PV),2023,,,
Services/care,Population 6 years or older,Train,Value,Limburg (PV),2018,,,
Services/care,Population 6 years or older,Train,Value,Limburg (PV),2019,,,
Services/care,Population 6 years or older,Train,Value,Limburg (PV),2020,,,
Services/care,Population 6 years or older,Train,Value,Limburg (PV),2021,,,
Services/care,Population 6 years or older,Train,Value,Limburg (PV),2022,,,
Services/care,Population 6 years or older,Train,Value,Limburg (PV),2023,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,The Netherlands,2018,1.0,10.0,0.7
Services/care,Population 6 years or older,Bus/tram/metro,Value,The Netherlands,2019,1.0,10.0,0.7
Services/care,Population 6 years or older,Bus/tram/metro,Value,The Netherlands,2020,1.0,4.0,0.3
Services/care,Population 6 years or older,Bus/tram/metro,Value,The Netherlands,2021,1.0,7.0,0.4
Services/care,Population 6 years or older,Bus/tram/metro,Value,The Netherlands,2022,1.0,6.0,0.5
Services/care,Population 6 years or older,Bus/tram/metro,Value,The Netherlands,2023,1.0,7.0,0.5
Services/care,Population 6 years or older,Bus/tram/metro,Value,Groningen (PV),2018,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Groningen (PV),2019,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Groningen (PV),2020,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Groningen (PV),2021,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Groningen (PV),2022,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Groningen (PV),2023,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Fryslân (PV),2018,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Fryslân (PV),2019,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Fryslân (PV),2020,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Fryslân (PV),2021,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Fryslân (PV),2022,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Fryslân (PV),2023,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Drenthe (PV),2018,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Drenthe (PV),2019,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Drenthe (PV),2020,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Drenthe (PV),2021,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Drenthe (PV),2022,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Drenthe (PV),2023,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Overijssel (PV),2018,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Overijssel (PV),2019,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Overijssel (PV),2020,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Overijssel (PV),2021,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Overijssel (PV),2022,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Overijssel (PV),2023,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Flevoland (PV),2018,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Flevoland (PV),2019,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Flevoland (PV),2020,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Flevoland (PV),2021,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Flevoland (PV),2022,,,
Services/care,Population 6 years or older,Bus/tram/metro,Value,Flevoland (PV),2023,,,
